cas,species_name,species_ids,profile_count,source_categories,source_category_frequency
107028,Acrolein (or 2-propenal),283,85,"biodiesel exhaust; composite profile; diesel exhaust; diesel exhaust emissions from 2007 model year heavy; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel exhaust emissions from tier 2 off; dry mill fuel ethanol production; fireplace wood combustion; heavy duty diesel with dpf, combination of previous measurements with vbs; marine vessel; nonroad diesel airport; nonroad diesel airport ags; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad diesel tier 2; nonroad residual oil marine; onroad diesel 2010+; onroad diesel dpf; onroad diesel non; open burning; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood","biodiesel exhaust:21; composite profile:3; diesel exhaust:27; diesel exhaust emissions from 2007 model year heavy:1; diesel exhaust emissions from pre:1; diesel exhaust emissions from tier 1 off:1; diesel exhaust emissions from tier 2 off:1; dry mill fuel ethanol production:2; fireplace wood combustion:3; heavy duty diesel with dpf, combination of previous measurements with vbs:1; marine vessel:1; nonroad diesel airport:1; nonroad diesel airport ags:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad diesel tier 2:2; nonroad residual oil marine:2; onroad diesel 2010+:2; onroad diesel dpf:2; onroad diesel non:2; open burning:1; residential wood combustion:3; residential wood combustion – noncatalytic woodstove, hardwood:1"
54105667,Undecylcyclohexane,1716,85,composite profile; diesel composition; diesel exhaust; nonroad diesel airport; nonroad diesel airport ags; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad diesel tier 2; onroad diesel 2010+; onroad diesel dpf; onroad diesel non,composite profile:1; diesel composition:1; diesel exhaust:74; nonroad diesel airport:1; nonroad diesel airport ags:1; nonroad diesel marine:1; nonroad diesel pre:1; nonroad diesel tier 1:1; nonroad diesel tier 2:1; onroad diesel 2010+:1; onroad diesel dpf:1; onroad diesel non:1
83465,Sitosterol,965,85,agricultural burning; diesel exhaust; fireplace wood combustion; forest fire; residential wood burning; residential wood stove combustion,agricultural burning:2; diesel exhaust:30; fireplace wood combustion:22; forest fire:6; residential wood burning:18; residential wood stove combustion:7
1074175,1-Methyl-2-n-propylbenzene (or 2-propyltoluene),84,83,"biodiesel exhaust; composite profile; diesel exhaust; diesel headspace vapor; diesel headspace vapor composite; gasoline headspace vapor; liquid diesel; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood; unburned diesel exhaust; volatility resolved liquid diesel","biodiesel exhaust:6; composite profile:3; diesel exhaust:40; diesel headspace vapor:14; diesel headspace vapor composite:1; gasoline headspace vapor:2; liquid diesel:10; residential wood combustion:3; residential wood combustion – noncatalytic woodstove, hardwood:1; unburned diesel exhaust:1; volatility resolved liquid diesel:2"
4170303,Crotonaldehyde (or 2-Butenal),382,83,"biodiesel exhaust; composite profile; diesel exhaust; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel exhaust emissions from tier 2 off; fireplace wood combustion; light; marine vessel; nonroad diesel airport; nonroad diesel airport ags; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad diesel tier 2; nonroad residual oil marine; onroad diesel 2010+; onroad diesel dpf; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood; rice straw burning gap; wheat straw burning gap","biodiesel exhaust:20; composite profile:4; diesel exhaust:28; diesel exhaust emissions from pre:2; diesel exhaust emissions from tier 1 off:1; diesel exhaust emissions from tier 2 off:1; fireplace wood combustion:3; light:1; marine vessel:1; nonroad diesel airport:1; nonroad diesel airport ags:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad diesel tier 2:2; nonroad residual oil marine:2; onroad diesel 2010+:2; onroad diesel dpf:2; residential wood combustion:3; residential wood combustion – noncatalytic woodstove, hardwood:1; rice straw burning gap:1; wheat straw burning gap:1"
540841,"2,2,4-trimethylpentane",118,83,"composite profile; diesel exhaust; diesel exhaust emissions from 2007 model year heavy; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel exhaust emissions from tier 2 off; diesel headspace vapor; diesel headspace vapor composite; gasoline headspace vapor; heavy duty diesel with dpf, combination of previous measurements with vbs; light duty diesel exhaust; marine vessel; nonroad diesel airport; nonroad diesel airport ags; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad diesel tier 2; nonroad residual oil marine; onroad diesel 2010+; onroad diesel dpf; onroad diesel non; residential wood combustion; rice straw burning gap; vehicle exhaust; wheat straw burning gap","composite profile:1; diesel exhaust:12; diesel exhaust emissions from 2007 model year heavy:1; diesel exhaust emissions from pre:2; diesel exhaust emissions from tier 1 off:1; diesel exhaust emissions from tier 2 off:1; diesel headspace vapor:14; diesel headspace vapor composite:1; gasoline headspace vapor:2; heavy duty diesel with dpf, combination of previous measurements with vbs:1; light duty diesel exhaust:5; marine vessel:1; nonroad diesel airport:1; nonroad diesel airport ags:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad diesel tier 2:2; nonroad residual oil marine:2; onroad diesel 2010+:2; onroad diesel dpf:2; onroad diesel non:2; residential wood combustion:1; rice straw burning gap:1; vehicle exhaust:20; wheat straw burning gap:1"
106990,"1,3-butadiene",46,82,"biodiesel exhaust; composite profile; diesel exhaust; diesel exhaust emissions from 2007 model year heavy; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel exhaust emissions from tier 2 off; fireplace wood combustion; heavy duty diesel exhaust; heavy duty diesel with dpf, combination of previous measurements with vbs; light duty diesel exhaust; marine vessel; nonroad diesel airport; nonroad diesel airport ags; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad diesel tier 2; nonroad residual oil marine; onroad diesel dpf; onroad diesel non; open burning; reciprocating diesel engine; reciprocating distillate oil engine; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood; rice straw burning gap; vehicle exhaust; wheat straw burning gap","biodiesel exhaust:4; composite profile:4; diesel exhaust:22; diesel exhaust emissions from 2007 model year heavy:1; diesel exhaust emissions from pre:2; diesel exhaust emissions from tier 1 off:1; diesel exhaust emissions from tier 2 off:1; fireplace wood combustion:1; heavy duty diesel exhaust:2; heavy duty diesel with dpf, combination of previous measurements with vbs:1; light duty diesel exhaust:1; marine vessel:1; nonroad diesel airport:1; nonroad diesel airport ags:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad diesel tier 2:2; nonroad residual oil marine:2; onroad diesel dpf:2; onroad diesel non:2; open burning:1; reciprocating diesel engine:1; reciprocating distillate oil engine:1; residential wood combustion:17; residential wood combustion – noncatalytic woodstove, hardwood:1; rice straw burning gap:1; vehicle exhaust:2; wheat straw burning gap:1"
2363715,Heneicosanoic acid,2396; 2409; 948,82,agricultural burning; diesel exhaust; fireplace wood combustion; forest fire; outdoor hydronic heater; outdoor wood; residential wood combustion; residential wood stove combustion,agricultural burning:2; diesel exhaust:20; fireplace wood combustion:3; forest fire:6; outdoor hydronic heater:2; outdoor wood:5; residential wood combustion:39; residential wood stove combustion:5
53584591,"17a(H),21ß(H)-22,29,30-Trisnorhopane",1738; 2483; 994,82,composite profile; diesel exhaust; medium duty trucks; residential wood burning; residential wood combustion,composite profile:1; diesel exhaust:26; medium duty trucks:1; residential wood burning:18; residential wood combustion:36
557595,Tetracosanoic acid,971,82,agricultural burning; diesel exhaust; fireplace wood combustion; forest fire; outdoor hydronic heater; outdoor wood; residential wood combustion; residential wood stove combustion,agricultural burning:2; diesel exhaust:35; fireplace wood combustion:22; forest fire:6; outdoor hydronic heater:2; outdoor wood:5; residential wood combustion:3; residential wood stove combustion:7
7726956,Bromine,307,82,"composite profile; diesel exhaust; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood","composite profile:1; diesel exhaust:77; residential wood combustion:3; residential wood combustion – noncatalytic woodstove, hardwood:1"
1740198,Dehydroabietic acid,942,81,agricultural burning; diesel exhaust; fireplace wood combustion; forest fire; outdoor hydronic heater; outdoor wood; residential wood combustion; residential wood stove combustion,agricultural burning:2; diesel exhaust:15; fireplace wood combustion:9; forest fire:6; outdoor hydronic heater:2; outdoor wood:5; residential wood combustion:39; residential wood stove combustion:3
538932,(2-methylpropyl)benzene (or isobutylbenzene),3,81,"biodiesel exhaust; composite profile; diesel exhaust; diesel exhaust emissions from 2007 model year heavy; diesel exhaust emissions from pre; diesel exhaust emissions from tier 1 off; diesel headspace vapor; gasoline headspace vapor; liquid diesel; marine vessel; nonroad diesel marine; nonroad diesel pre; nonroad diesel tier 1; nonroad residual oil marine; onroad diesel 2010+; onroad diesel dpf; residential wood combustion; residential wood combustion – noncatalytic woodstove, hardwood; unburned diesel exhaust; volatility resolved liquid diesel","biodiesel exhaust:2; composite profile:3; diesel exhaust:31; diesel exhaust emissions from 2007 model year heavy:1; diesel exhaust emissions from pre:1; diesel exhaust emissions from tier 1 off:1; diesel headspace vapor:10; gasoline headspace vapor:2; liquid diesel:10; marine vessel:1; nonroad diesel marine:2; nonroad diesel pre:2; nonroad diesel tier 1:2; nonroad residual oil marine:2; onroad diesel 2010+:2; onroad diesel dpf:2; residential wood combustion:3; residential wood combustion – noncatalytic woodstove, hardwood:1; unburned diesel exhaust:1; volatility resolved liquid diesel:2"
